Number Start Coordinate Stop Coordinate Color/Hardness 
69 : 86 268 87 268 0.6196319018 
70 : 87 268 88 269 0.6196319018 
71 : 85 265 86 265 0.6197252023 
72 : 88 269 87 269 0.6197252023 
73 : 14 129 14 128 0.6199468629 
74 : 11 115 11 116 0.6202352932 
75 : 14 128 15 129 0.6211036312 
76 : 89 265 90 266 0.6218269304 
77 : 90 266 91 266 0.6220154627 
78 : 81 268 81 267 0.6220431697 
79 : 84 278 84 277 0.6230358203 
80 : 87 269 86 269 0.6234805472 
81 : 91 269 90 270 0.6235518293 
82 : 81 267 81 266 0.6237319906 
83 : 9 103 10 102 0.6237610353 
84 : 84 274 84 273 0.6250976715 
85 : 86 269 85 270 0.6253929913 
86 : 84 273 84 272 0.6261938039 
87 : 81 266 81 265 0.6265252867 
88 : 11 116 12 116 0.6267919158 
89 : 85 270 85 271 0.6274260138 
90 : 84 272 85 271 0.6275470824 
91 : 12 116 12 115 0.6277401028 
92 : 15 129 15 128 0.6282845122 
93 : 84 276 84 275 0.6290303438 
94 : 82 273 82 274 0.6292956656 
95 : 14 127 14 126 0.6302638440 
96 : 84 275 85 274 0.6312226205 
97 : 13 121 12 122 0.6313909774 
98 : 12 115 12 114 0.6316333718 
99 : 12 122 13 122 0.6318888789 
100 : 90 270 91 270 0.6332848494 
101 : 81 269 81 270 0.6337719298 
102 : 11 111 11 110 0.6338326254 
103 : 18 137 18 138 0.6338700565 
104 : 16 134 16 133 0.6338762478 
105 : 16 133 15 132 0.6353599455 
106 : 15 132 16 132 0.6354087733 
107 : 13 119 13 120 0.6366742119 
108 : 13 120 14 121 0.6368553459 
109 : 81 270 81 271 0.6369047619 
110 : 13 118 13 117 0.6369613762 
111 : 84 277 85 278 0.6371753247 
112 : 159 33 160 32 0.6374104846 
113 : 14 124 14 125 0.6378738568 
114 : 13 122 14 123 0.6382635965 
115 : 97 278 97 279 0.6383509498 
116 : 92 268 92 267 0.6386514720 
117 : 86 265 87 264 0.6392405063 
118 : 160 32 161 31 0.6395788782 
119 : 92 267 91 266 0.6405876732 
120 : 88 264 87 264 0.6412763041 
121 : 17 135 18 136 0.6416507899 
122 : 14 126 14 125 0.6422137796 
123 : 13 89 13 88 0.6432563173 
124 : 97 276 97 275 0.6441717791 
125 : 91 270 92 269 0.6446572581 
126 : 11 117 11 118 0.6448038058 
127 : 81 265 81 264 0.6450561885 
128 : 89 270 88 270 0.6453739997 
129 : 14 125 13 124 0.6456845238 
130 : 12 114 13 113 0.6472977632 
131 : 14 123 13 123 0.6473091101 
132 : 18 138 19 138 0.6473542601 
133 : 85 271 86 270 0.6478618421 
134 : 81 271 81 272 0.6490909091 
135 : 18 136 17 136 0.6504356339 
136 : 13 123 13 124 0.6506750675 
137 : 17 136 18 135 0.6517757009 
138 : 10 102 10 103 0.6519673630 
139 : 13 117 13 116 0.6529453607 
140 : 17 134 18 135 0.6531866972 
141 : 19 138 19 137 0.6550324675 
142 : 82 274 82 275 0.6550350004 
143 : 91 266 92 266 0.6558441558 
144 : 86 270 87 270 0.6558441558 
145 : 18 80 17 81 0.6559058562 
146 : 16 132 16 131 0.6561506893 
147 : 97 275 96 276 0.6564807940 
148 : 19 137 19 136 0.6565421456 
149 : 16 131 16 130 0.6567472683 
150 : 17 81 17 82 0.6569513047 
151 : 11 110 11 109 0.6570006583 
152 : 15 128 16 129 0.6575985594 
153 : 20 141 19 140 0.6579509380 
154 : 93 268 93 267 0.6580919081 
155 : 13 124 13 125 0.6594014085 
156 : 16 130 16 129 0.6595720154 
157 : 87 270 88 270 0.6601589200 
158 : 13 112 13 113 0.6605116061 
159 : 13 113 12 113 0.6620901785 
160 : 14 122 14 121 0.6623205742 
161 : 88 270 89 271 0.6623591640 
162 : 93 267 92 266 0.6623655914 
163 : 84 264 85 264 0.6624493927 
164 : 18 135 18 134 0.6626227209 
165 : 13 111 14 112 0.6635694137 
166 : 20 139 19 140 0.6637554585 
167 : 15 85 16 84 0.6647727273 
168 : 96 276 96 275 0.6648692810 
169 : 11 109 12 110 0.6650367043 
170 : 12 113 13 114 0.6656954590 
171 : 16 84 16 83 0.6660233645 
172 : 14 112 14 113 0.6666770448 
173 : 92 269 93 269 0.6667806024 
174 : 13 88 14 87 0.6668514234 
175 : 13 114 14 113 0.6671800613 
176 : 91 271 90 271 0.6678137038 
177 : 18 127 18 128 0.6680972818 
178 : 21 90 22 89 0.6682356153 
179 : 13 110 12 110 0.6682464455 
180 : 19 140 19 139 0.6683201058 
181 : 14 113 14 114 0.6683796410 
182 : 70 1 71 1 0.6686743811 
183 : 10 103 9 104 0.6692539079 
184 : 20 92 20 91 0.6694980549 
185 : 85 272 85 273 0.6699319130 
186 : 95 256 95 255 0.6710816777 
187 : 90 271 89 271 0.6711630166 
188 : 13 125 13 126 0.6712023144 
189 : 20 142 21 141 0.6713079484 
190 : 96 275 97 274 0.6714148861 
191 : 14 130 14 131 0.6714617844 
192 : 16 135 16 136 0.6715807560 
193 : 20 77 19 78 0.6718492461 
194 : 9 111 10 112 0.6720240464 
195 : 13 116 13 115 0.6722791504 
196 : 15 86 14 87 0.6729948650 
197 : 10 112 10 111 0.6737388852 
198 : 10 111 9 110 0.6741897168 
199 : 19 139 20 140 0.6742600357 
200 : 93 116 92 117 0.6743083237 
201 : 18 134 17 133 0.6743938401 
202 : 17 133 17 132 0.6744664959 
203 : 71 256 71 255 0.6745798319 
204 : 16 129 16 128 0.6746148520 
205 : 16 120 17 120 0.6746264488 
206 : 14 121 14 120 0.6746918597 
207 : 12 110 12 111 0.6747895490 
208 : 14 111 14 110 0.6752587285 
209 : 95 252 95 251 0.6755263158 
210 : 95 255 95 254 0.6755263158 
211 : 9 110 10 110 0.6756472349 
212 : 92 266 93 266 0.6756533023 
213 : 10 115 10 114 0.6757674338 
214 : 87 264 86 264 0.6759557704 
215 : 14 114 13 115 0.6759563779 
216 : 15 127 16 127 0.6761904762 
217 : 90 265 89 264 0.6761979400 
218 : 18 128 17 127 0.6769565217 
219 : 12 111 12 112 0.6772596844 
220 : 19 136 19 135 0.6774284392 
221 : 16 127 16 128 0.6774344271 
222 : 16 128 17 127 0.6774870801 
223 : 22 146 22 145 0.6774991064 
224 : 13 115 14 115 0.6778008158 
225 : 95 251 95 250 0.6778081950 
226 : 121 278 121 277 0.6783011583 
227 : 10 113 10 114 0.6783465423 
228 : 21 141 20 140 0.6784140969 
229 : 13 90 12 89 0.6784424057 
230 : 10 114 9 113 0.6785627532 
231 : 19 79 19 78 0.6785730613 
232 : 17 127 17 128 0.6786868687 
233 : 121 277 121 276 0.6788389513 
234 : 64 274 64 273 0.6788876235 
235 : 12 112 11 111 0.6789648263 
236 : 17 132 17 131 0.6789767878 
237 : 200 102 200 103 0.6792828685 
238 : 10 110 10 109 0.6797755900 
239 : 33 68 32 68 0.6798345476 
240 : 93 269 92 270 0.6800000000 
241 : 92 270 92 271 0.6800302236 
242 : 20 140 19 141 0.6801948052 
243 : 106 118 106 117 0.6806563790 
244 : 11 118 11 119 0.6806722689 
245 : 89 264 88 263 0.6807598039 
246 : 97 274 96 274 0.6812101911 
247 : 22 89 22 90 0.6812383554 
248 : 17 120 16 119 0.6815476190 
249 : 14 87 14 86 0.6817250498 
250 : 64 273 63 274 0.6818248604 
251 : 107 112 107 111 0.6819462780 
252 : 16 119 17 119 0.6819874027 
253 : 32 68 31 69 0.6820112757 
254 : 16 121 17 121 0.6820239843 
255 : 96 274 96 273 0.6821505376 
256 : 93 266 94 267 0.6822818792 
257 : 19 128 19 129 0.6825620452 
258 : 95 107 95 106 0.6828304863 
259 : 82 275 82 276 0.6828703704 
260 : 17 121 16 122 0.6829968944 
261 : 14 115 14 116 0.6830898961 
262 : 15 124 15 125 0.6831360553 
263 : 19 78 18 79 0.6838137524 
264 : 107 115 107 114 0.6840400666 
265 : 15 126 15 125 0.6844202235 
266 : 12 123 12 124 0.6844708995 
267 : 17 119 17 118 0.6844981527 
268 : 92 271 93 270 0.6845637584 
269 : 95 257 94 256 0.6845945946 
270 : 93 270 93 271 0.6845945946 
271 : 16 122 17 122 0.6849974975 
272 : 120 280 121 279 0.6851955307 
273 : 14 110 13 109 0.6855177098 
274 : 200 103 199 102 0.6856237656 
275 : 17 118 16 118 0.6859442641 
276 : 20 138 21 139 0.6861325611 
277 : 96 273 95 273 0.6864761241 
278 : 17 137 17 138 0.6865384615 
279 : 95 273 94 272 0.6866971865 
280 : 95 253 95 254 0.6868764738 
281 : 95 254 94 255 0.6868764738 
282 : 93 271 94 272 0.6869387755 
283 : 14 86 15 87 0.6872647010 
284 : 53 31 54 31 0.6873252892 
285 : 14 120 15 119 0.6875173370 
286 : 15 87 14 88 0.6876753791 
287 : 71 255 71 254 0.6876848712 
288 : 13 109 12 109 0.6877255418 
289 : 21 142 21 143 0.6877777778 
290 : 16 118 16 117 0.6878481324 
291 : 71 257 71 258 0.6879224214 
292 : 107 111 107 110 0.6879356038 
293 : 121 276 121 275 0.6880353818 
294 : 13 87 14 88 0.6880494070 
295 : 106 117 106 116 0.6880730136 
296 : 17 128 18 129 0.6880892256 
297 : 199 102 198 102 0.6881315585 
298 : 63 275 64 275 0.6882810746 
299 : 17 131 17 130 0.6883720930 
300 : 18 79 19 80 0.6885014009 
301 : 81 272 80 272 0.6886363636 
302 : 22 145 23 145 0.6886367294 
303 : 85 273 85 274 0.6886595986 
304 : 10 109 11 108 0.6888825908 
305 : 17 122 16 123 0.6890990991 
306 : 54 31 54 30 0.6891216168 
307 : 107 114 107 113 0.6892896540 
308 : 97 279 98 278 0.6896176031 
309 : 19 129 19 130 0.6901228843 
310 : 9 104 10 104 0.6901707707 
311 : 107 113 106 113 0.6902245078 
312 : 14 84 14 85 0.6903215028 
313 : 64 275 63 274 0.6905200184 
314 : 98 277 98 276 0.6906706156 
315 : 16 83 15 82 0.6910958386 
316 : 15 125 16 126 0.6912550067 
317 : 71 1 72 1 0.6913966989 
318 : 63 274 63 273 0.6914483533 
319 : 94 268 94 269 0.6915969477 
320 : 197 102 198 102 0.6916090739 
321 : 78 273 79 273 0.6917241379 
322 : 89 271 88 271 0.6917808219 
323 : 15 82 15 83 0.6922578700 
324 : 9 112 9 113 0.6924268350 
325 : 92 117 92 116 0.6925605059 
326 : 18 139 18 140 0.6925923356 
327 : 16 123 15 123 0.6928419031 
328 : 11 108 12 109 0.6928616508 
329 : 198 102 198 101 0.6929280397 
330 : 19 141 18 140 0.6930018002 
331 : 16 117 16 116 0.6930901013 
332 : 81 264 82 263 0.6932737047 
333 : 31 69 30 69 0.6932809194 
334 : 19 130 18 129 0.6933667826 
335 : 12 109 13 108 0.6933708469 
336 : 94 272 95 272 0.6936105569 
337 : 95 272 94 273 0.6936105569 
338 : 94 273 93 272 0.6936734694 
339 : 15 110 14 109 0.6950616792 
340 : 14 109 15 109 0.6950890496 
341 : 57 15 57 14 0.6952051622 
342 : 13 214 13 215 0.6952054795 
343 : 14 85 15 84 0.6954330524 
344 : 195 101 196 101 0.6954995340 
345 : 16 126 17 126 0.6957498887 
346 : 63 276 64 276 0.6958937944 
347 : 17 82 16 82 0.6962305300 
348 : 107 110 107 109 0.6962579846 
349 : 121 279 120 279 0.6965295927 
350 : 21 140 21 139 0.6966911765 
351 : 196 101 196 102 0.6967871486 
352 : 16 116 16 115 0.6968294755 
353 : 14 116 15 117 0.6970105600 
354 : 57 14 58 14 0.6974492819 
355 : 19 127 18 126 0.6974605618 
356 : 121 275 121 274 0.6975047081 
357 : 13 126 13 127 0.6977241158 
358 : 15 123 16 124 0.6978347367 
359 : 94 271 93 272 0.6983131090 
360 : 30 69 29 70 0.6986045494 
361 : 196 102 195 102 0.6986260454 
362 : 92 272 93 272 0.6986301370 
363 : 93 272 93 273 0.6987612613 
364 : 20 91 21 91 0.6987769939 
365 : 159 34 158 35 0.6988530457 
366 : 79 273 78 274 0.6989252358 
367 : 16 115 17 116 0.6992112680 
368 : 17 117 17 116 0.6993726312 
369 : 95 106 94 106 0.6994178381 
370 : 15 118 15 117 0.6994469717 
371 : 23 145 24 146 0.6995713265 
372 : 13 215 14 214 0.6996785015 
373 : 94 270 94 269 0.6996785015 
374 : 158 35 158 34 0.6996810720 
375 : 95 250 95 249 0.6997670084 
376 : 96 277 96 278 0.6998207885 
377 : 15 117 15 116 0.7000176111 
378 : 85 264 86 264 0.7000856287 
379 : 71 254 71 253 0.7003367003 
380 : 18 133 19 132 0.7005855719 
381 : 64 276 63 277 0.7006571087 
382 : 17 116 17 115 0.7008120778 
383 : 23 138 22 137 0.7008492375 
384 : 94 269 95 270 0.7010392064 
385 : 17 130 18 129 0.7011692798 
386 : 21 91 22 90 0.7012138581 
387 : 16 124 17 123 0.7012181617 
388 : 17 123 18 124 0.7015877958 
389 : 95 274 95 275 0.7018019675 
390 : 15 116 14 117 0.7020187019 
391 : 14 211 14 210 0.7020642740 
392 : 19 135 19 134 0.7021643363 
393 : 15 122 15 121 0.7022752497 
394 : 20 82 19 83 0.7023099236 
395 : 18 124 19 124 0.7024543562 
396 : 16 85 15 84 0.7026809942 
397 : 18 126 17 126 0.7027372522 
398 : 120 279 121 280 0.7029323102 
399 : 198 101 198 100 0.7032985193 
400 : 10 236 10 235 0.7033333333 
401 : 10 235 10 234 0.7033423708 
402 : 15 119 15 120 0.7034439928 
403 : 15 84 15 83 0.7035899191 
404 : 18 129 18 130 0.7036543586 
405 : 17 126 16 125 0.7036973529 
406 : 22 137 22 136 0.7037195261 
407 : 62 280 62 279 0.7038953135 
408 : 14 88 14 89 0.7039286253 
409 : 95 108 94 107 0.7039748749 
410 : 14 210 15 211 0.7044638640 
411 : 8 237 9 237 0.7044638640 
412 : 15 205 15 206 0.7045068027 
413 : 20 93 21 94 0.7045644935 
414 : 98 276 98 275 0.7050242751 
415 : 15 120 15 121 0.7050379572 
416 : 200 104 199 103 0.7053191489 
417 : 19 131 18 130 0.7058823529 
418 : 55 25 55 26 0.7059161852 
419 : 54 30 53 30 0.7059183180 
420 : 94 267 94 266 0.7059584251 
421 : 19 124 18 123 0.7061346979 
422 : 121 274 121 273 0.7065755437 
423 : 106 119 106 120 0.7067961165 
424 : 15 121 14 120 0.7068423486 
425 : 18 130 17 129 0.7069068556 
426 : 23 139 22 138 0.7071600663 
427 : 15 111 15 112 0.7073963573 
428 : 24 147 24 146 0.7075892857 
429 : 19 132 20 132 0.7077798861 
430 : 108 106 108 107 0.7077913857 
431 : 107 109 107 108 0.7077974657 
432 : 17 129 16 128 0.7078405706 
433 : 16 91 17 90 0.7078461259 
434 : 15 212 15 211 0.7080536913 
435 : 194 101 195 102 0.7082444681 
436 : 197 104 198 104 0.7083020420 
437 : 17 124 16 125 0.7083333333 
438 : 78 274 79 274 0.7084699981 
439 : 15 211 14 212 0.7084942085 
440 : 14 119 14 118 0.7086280057 
441 : 24 146 23 146 0.7088930152 
442 : 14 212 14 213 0.7089139104 
443 : 22 136 21 135 0.7090308370 
444 : 11 119 11 120 0.7090517241 
445 : 98 278 98 279 0.7092198582 
446 : 17 115 16 114 0.7093301912 
447 : 62 279 61 280 0.7093303389 
448 : 14 209 15 210 0.7093390805 
449 : 10 108 11 107 0.7094354327 
450 : 55 26 54 26 0.7098547551 
451 : 63 273 64 272 0.7098968105 
452 : 15 83 16 82 0.7100657791 
453 : 163 28 162 29 0.7100934297 
454 : 195 102 194 102 0.7101594650 
455 : 23 146 23 147 0.7107704762 
456 : 121 273 121 272 0.7108123570 
457 : 15 210 15 209 0.7108843537 
458 : 15 209 15 208 0.7108941133 
459 : 21 135 21 134 0.7111449115 
460 : 23 147 24 148 0.7111644355 
461 : 198 104 199 103 0.7112679866 
462 : 15 208 14 208 0.7113367974 
463 : 95 275 94 274 0.7113604157 
464 : 85 274 85 275 0.7115103194 
465 : 53 30 54 29 0.7115205516 
466 : 16 125 17 125 0.7115580213 
467 : 21 134 22 133 0.7117600787 
468 : 16 114 15 115 0.7118349393 
469 : 93 273 94 274 0.7118946556 
470 : 22 79 21 80 0.7119104991 
471 : 18 123 19 123 0.7119714164 
472 : 108 107 107 108 0.7120616371 
473 : 161 31 161 30 0.7121575640 
474 : 22 144 21 143 0.7121810804 
475 : 199 103 199 104 0.7122175141 
476 : 96 272 95 271 0.7124624625 
477 : 64 272 65 272 0.7129408487 
478 : 200 101 199 101 0.7129450944 
479 : 199 33 198 33 0.7131626688 
480 : 20 132 20 131 0.7131938858 
481 : 14 117 14 118 0.7132318956 
482 : 8 240 8 241 0.7133504194 
483 : 19 119 19 120 0.7133609132 
484 : 91 272 92 273 0.7134262656 
485 : 21 143 20 143 0.7136527949 
486 : 18 131 18 132 0.7136904762 
487 : 15 109 14 108 0.7140413666 
488 : 58 14 58 15 0.7140755544 
489 : 19 123 18 122 0.7141058925 
490 : 15 115 15 114 0.7142114227 
491 : 198 100 197 101 0.7144364075 
492 : 17 84 17 83 0.7144479029 
493 : 158 44 158 45 0.7144640692 
494 : 85 278 85 279 0.7145136387 
495 : 194 102 193 101 0.7146155983 
496 : 9 113 9 114 0.7147340027 
497 : 16 82 17 83 0.7148262928 
498 : 19 120 19 121 0.7149452706 
499 : 96 278 96 279 0.7150098103 
500 : 198 33 198 32 0.7154627079 
501 : 193 101 193 102 0.7154785389 
502 : 95 249 95 248 0.7155883630 
503 : 112 221 113 222 0.7155978240 
504 : 20 143 21 144 0.7156308411 
505 : 197 101 196 100 0.7157486476 
506 : 19 83 19 82 0.7162000491 
507 : 15 206 15 207 0.7162835249 
508 : 14 214 14 213 0.7162835249 
509 : 20 131 20 130 0.7163149351 
510 : 200 32 200 33 0.7163591784 
511 : 200 33 199 32 0.7166869075 
512 : 106 116 107 116 0.7167056126 
513 : 13 216 14 215 0.7168427230 
514 : 13 108 12 108 0.7168668731 
515 : 85 279 85 280 0.7169036913 
516 : 17 90 17 89 0.7169096499 
517 : 8 241 9 240 0.7169323266 
518 : 15 204 16 205 0.7170254403 
519 : 186 100 187 100 0.7172103046 
520 : 18 132 19 133 0.7173324306 
521 : 72 250 72 251 0.7173913043 
522 : 199 104 198 103 0.7174040649 
523 : 193 102 192 101 0.7176059667 
524 : 11 107 12 108 0.7176668468 
525 : 58 15 59 14 0.7177113999 
526 : 95 271 95 270 0.7178484701 
527 : 72 252 71 253 0.7179023508 
528 : 113 276 113 275 0.7179873340 
529 : 94 274 93 274 0.7179879530 
530 : 17 83 18 84 0.7181730445 
531 : 92 116 93 115 0.7182239171 
532 : 10 234 9 233 0.7182539683 
533 : 9 237 8 238 0.7182539683 
534 : 98 275 98 274 0.7183114898 
535 : 24 145 23 144 0.7183319984 
536 : 192 101 191 100 0.7184252941 
537 : 39 66 38 66 0.7186113294 
538 : 8 238 9 238 0.7187500000 
539 : 71 253 72 253 0.7187500000 
540 : 72 251 71 252 0.7187780773 
541 : 23 144 22 143 0.7188404598 
542 : 86 264 87 263 0.7188703141 
543 : 86 271 87 271 0.7190888821 
544 : 39 62 38 62 0.7191275152 
545 : 111 219 111 220 0.7192928457 
546 : 26 148 25 149 0.7193313199 
547 : 21 81 21 80 0.7193727509 
548 : 61 280 61 279 0.7195162566 
549 : 190 101 189 101 0.7195949393 
550 : 198 32 199 32 0.7197156713 
551 : 197 103 196 103 0.7197439596 
552 : 189 101 189 102 0.7197972306 
553 : 18 122 19 121 0.7199281681 
554 : 113 222 114 223 0.7199578625 
555 : 19 121 19 122 0.7200339760 
556 : 20 128 20 129 0.7200964027 
557 : 9 238 8 239 0.7201332588 
558 : 21 94 21 95 0.7202207274 
559 : 69 1 68 1 0.7202394591 
560 : 189 102 190 102 0.7202580195 
561 : 199 32 200 31 0.7202656996 
562 : 12 108 13 107 0.7203780733 
563 : 23 124 23 123 0.7205312436 
564 : 200 31 199 31 0.7206762603 
565 : 9 109 9 108 0.7209231936 
566 : 82 276 82 277 0.7209302326 
567 : 113 280 113 279 0.7210102201 
568 : 14 213 13 213 0.7212509713 
569 : 8 239 9 240 0.7212509713 
570 : 85 277 85 276 0.7212536322 
571 : 196 103 195 103 0.7212765957 
572 : 94 106 94 107 0.7212866968 
573 : 10 101 11 101 0.7214999118 
574 : 18 194 18 193 0.7215315315 
575 : 72 253 72 254 0.7215478909 
576 : 17 114 16 113 0.7216087062 
577 : 62 278 63 277 0.7217194570 
578 : 196 100 195 100 0.7217261905 
579 : 191 100 191 101 0.7220883534 
580 : 22 133 22 134 0.7221136903 
581 : 192 102 191 101 0.7221207716 
582 : 10 237 9 236 0.7221430542 
583 : 162 29 161 30 0.7221540182 
584 : 22 143 21 144 0.7222412758 
585 : 94 256 94 257 0.7223499361 
586 : 197 33 198 34 0.7223665400 
587 : 85 275 85 276 0.7224532225 
588 : 191 101 192 100 0.7225660986 
589 : 106 120 106 121 0.7225724638 
590 : 14 208 15 207 0.7225853856 
591 : 198 103 197 102 0.7228132388 
592 : 56 20 56 19 0.7228425285 
593 : 107 116 106 115 0.7229352436 
594 : 23 91 22 90 0.7230229555 
595 : 21 139 22 138 0.7231317184 
596 : 19 122 18 121 0.7233118074 
597 : 199 101 200 100 0.7233122363 
598 : 10 228 10 227 0.7234042553 
599 : 94 266 95 265 0.7234406439 
600 : 79 272 78 272 0.7235498315 
601 : 199 34 198 34 0.7237101656 
602 : 192 100 193 100 0.7237101656 
603 : 20 137 21 136 0.7237112038 
604 : 15 207 16 208 0.7237762238 
605 : 18 193 19 194 0.7240136054 
606 : 88 263 89 263 0.7240980574 
607 : 72 249 72 248 0.7241352201 
608 : 113 275 114 275 0.7241352201 
609 : 94 257 95 258 0.7244703826 
610 : 79 274 78 275 0.7244703826 
611 : 9 233 9 234 0.7245004995 
612 : 9 240 9 239 0.7245464643 
613 : 21 136 20 135 0.7245847176 
614 : 16 113 17 113 0.7245903413 
615 : 95 276 94 275 0.7249587098 
616 : 13 213 13 212 0.7250114802 
617 : 19 134 20 135 0.7251572327 
618 : 22 75 21 76 0.7252123990 
619 : 23 137 22 138 0.7252878893 
620 : 65 272 65 271 0.7252913069 
621 : 20 129 20 130 0.7254185693 
622 : 14 118 13 117 0.7254580986 
623 : 19 118 19 117 0.7256637168 
624 : 22 134 21 133 0.7256637168 
625 : 14 215 14 216 0.7256944444 
626 : 21 76 20 76 0.7257949101 
627 : 187 100 188 101 0.7257985919 
628 : 193 176 194 176 0.7258064516 
629 : 86 101 87 100 0.7258572019 
630 : 21 133 20 134 0.7259090909 
631 : 19 117 19 116 0.7259680368 
632 : 20 135 20 134 0.7260170170 
633 : 198 34 199 35 0.7261535813 
634 : 190 102 191 102 0.7263234408 
635 : 13 217 14 217 0.7263370432 
636 : 9 234 9 235 0.7263370432 
637 : 78 272 79 271 0.7264294404 
638 : 18 85 18 84 0.7265248227 
639 : 25 149 24 148 0.7267198074 
640 : 65 268 65 269 0.7270803096 
641 : 188 101 188 102 0.7272506252 
642 : 20 134 20 133 0.7272844273 
643 : 20 130 21 131 0.7274699841 
644 : 185 100 185 101 0.7275246926 
645 : 195 103 196 104 0.7275398361 
646 : 9 239 10 238 0.7275862069 
647 : 10 227 11 228 0.7275950668 
648 : 19 126 20 127 0.7276821248 
649 : 18 121 18 120 0.7278022208 
650 : 108 214 109 215 0.7280650215 
651 : 12 124 12 125 0.7280883368 
652 : 25 147 24 148 0.7281313131 
653 : 20 133 19 133 0.7281472987 
654 : 57 13 58 13 0.7283556343 
655 : 114 223 114 224 0.7283713054 
656 : 121 272 121 271 0.7284191712 
657 : 18 81 19 82 0.7284732538 
658 : 27 150 27 149 0.7285168434 
659 : 92 273 93 274 0.7285714286 
660 : 24 148 25 148 0.7286058831 
661 : 111 220 112 220 0.7286995516 
662 : 19 82 20 81 0.7287441227 
663 : 25 150 26 149 0.7287447681 
664 : 200 34 200 35 0.7287815919 
665 : 85 280 86 279 0.7288048754 
666 : 106 113 106 112 0.7290456588 
667 : 91 265 92 265 0.7292513815 
668 : 110 218 111 218 0.7293093093 
669 : 25 142 25 143 0.7293256027 
670 : 191 102 192 103 0.7293946220 
671 : 188 102 187 102 0.7294028250 
672 : 18 120 18 119 0.7294328107 
673 : 187 102 186 101 0.7294460537 
674 : 20 121 20 122 0.7296835150 
675 : 115 225 114 224 0.7296835150 
676 : 19 194 19 193 0.7300000000 
677 : 85 276 86 277 0.7300626526 
678 : 112 220 113 221 0.7300884956 
679 : 58 13 59 14 0.7301082376 
680 : 11 232 11 233 0.7301245211 
681 : 108 105 109 104 0.7302182102 
682 : 21 126 20 127 0.7302631579 
683 : 70 17 69 17 0.7303486043 
684 : 196 104 195 104 0.7303716653 
685 : 19 133 18 132 0.7305045872 
686 : 65 271 65 270 0.7306005398 
687 : 19 80 20 81 0.7306049205 
688 : 192 103 193 103 0.7306077328 
689 : 88 100 89 99 0.7306736845 
690 : 20 122 20 123 0.7307309942 
691 : 65 269 65 270 0.7307692308 
692 : 114 224 113 223 0.7311111111 
693 : 63 277 62 277 0.7311661507 
694 : 95 258 94 258 0.7311921891 
695 : 10 104 10 105 0.7312672478 
696 : 93 115 94 116 0.7312801033 
697 : 27 149 26 149 0.7313111318 
